id_str	text	time	sentiment
1329932276659064835	RT @havarhayook: 58 saat sonra gelen mucize. Emrah Apartmanı'nda enkaz altında kalan iki kız kardeşten biri olan 14 yaşındaki İdil Şirin, sağ olarak çıkarıld.  #deprem #izmirdepremi https://t.co/HPDUNatRPJ	20/11/2020 23:38:58	4
1329929951810899977	RT @dalinumut: #kayıpkedi #izmirdepremi #kedisahiplendirme #yilmazerbek @ahbap_izmir @sibel_cakr https://t.co/9YZ25FqTpA	20/11/2020 23:29:44	2
1329929719295295488	RT @dalinumut: #kayıpkedi #izmirdepremi #kedisahiplendirme #yilmazerbek @ahbap_izmir @sibel_cakr https://t.co/9YZ25FqTpA	20/11/2020 23:28:48	2
1329927656733876225	RT @havarhayook: 58 saat sonra gelen mucize. Emrah Apartmanı'nda enkaz altında kalan iki kız kardeşten biri olan 14 yaşındaki İdil Şirin, sağ olarak çıkarıld.  #deprem #izmirdepremi https://t.co/HPDUNatRPJ	20/11/2020 23:20:36	4
1329924216494370816	Unuttunuz çoktan değil mi? #izmirdepremi	20/11/2020 23:06:56	0
1329923473616105476	RT @SVi35: 🏚️Gündüz trafiği etkilememek için depremde ağır hasar almış işhanı gece yıkımı başladı. #izmirdepremi #izmir #Çankaya #konak https://t.co/KfQiOSKL8M	20/11/2020 23:03:59	0
1329917393620131846	RT @MediaPixArt: 🙏🙏🙏🙏🙏🙏🙏🙏  #IzmirEarthquake #izmir #izmirdepremi #izmirdeprem https://t.co/4yb9FrQDeV	20/11/2020 22:39:49	2
1329914997150015490	RT @dalinumut: #kayıpkedi #izmirdepremi #kedisahiplendirme #yilmazerbek @ahbap_izmir @sibel_cakr https://t.co/9YZ25FqTpA	20/11/2020 22:30:18	2
1329904468343869446	RT @dalinumut: #kayıpkedi #izmirdepremi #kedisahiplendirme #yilmazerbek @ahbap_izmir @sibel_cakr https://t.co/9YZ25FqTpA	20/11/2020 21:48:28	2
1329904117435822082	RT @ay_moon_ay: Ekrem İmamoğlu'na "İstanbul'u sel bastı, beyefendi tatilde" diyen. Erdoğan, İzmir'de deprem olmuşken,  26 yurttaş ölmüş, yüzlerce yaralı varken, Van'da güle oynaya il mitingi yapıyor.. #izmirdepremi https://t.co/WYErwdFtBR	20/11/2020 21:47:04	0
1329902095999377408	RT @dalinumut: #kayıpkedi #izmirdepremi #kedisahiplendirme #yilmazerbek @ahbap_izmir @sibel_cakr https://t.co/9YZ25FqTpA	20/11/2020 21:39:02	2
1329902031558074374	RT @dalinumut: Bu çocuğa yuva bulalım RT lütfen 🙏🏻 #kayıpkedi #izmirdepremkayıphayvanlar #izmirdepremi https://t.co/GSiCmEaFn5	20/11/2020 21:38:47	2
1329900037091053571	RT @SVi35: 🏚️Gündüz trafiği etkilememek için depremde ağır hasar almış işhanı gece yıkımı başladı. #izmirdepremi #izmir #Çankaya #konak https://t.co/KfQiOSKL8M	20/11/2020 21:30:51	0
1329898364142546945	#izmirdepremi ‘nin yaraları hala çok taze. Mağdurların çoğunun banka hesapları hala boş. Artık toplanan yardımları gönderin.Bir de şu kentsel dönüşüm inşaatlarınız için insanlardan para istemeyi bırakın. Yok çünkü!!!	20/11/2020 21:24:12	0
1329895199259176969	RT @SVi35: 🏚️Gündüz trafiği etkilememek için depremde ağır hasar almış işhanı gece yıkımı başladı. #izmirdepremi #izmir #Çankaya #konak https://t.co/KfQiOSKL8M	20/11/2020 21:11:38	0
1329894496981618691	🏚️Gündüz trafiği etkilememek için depremde ağır hasar almış işhanı gece yıkımı başladı. #izmirdepremi #izmir #Çankaya #konak https://t.co/KfQiOSKL8M	20/11/2020 21:08:50	2
1329884831275225089	RT @idrak_yolu: #izmirdepremi olunca bitik siyasilere gün doğdu.Oraya gidip şov yapıyorlar.. Kimse biz sorumluyuz bu imarları biz verdik..Biz eski binaları kontrol etmiyoruz..Yenilemiyoruz ..Özür dileriz demiyorlar.. Halk her şeye  "ecel..mukeddarat" der sineye çekerse biz daha çok  ölürüz..	20/11/2020 20:30:26	2
1329878161153208322	RT @1_Ezikapre: 🌹🌿  Güzel haberlere, vicdanlı insanlara, karşılıksız yardımlara, koşulsuz sevgiye, özgürce nefes almaya, kısacası; gerçekten insanca yaşayamaya çok ihtiyacımız var. Sabırla, özlemle, bıkmadan bekliyoruz, iki gözüm!  🌹🌿  #pakize #Mucizelereİnan #hayatyordubizi #izmirdepremi https://t.co/5kHOhuaRrJ	20/11/2020 20:03:56	0
1329877471630594053	RT @1_Ezikapre: 🌹🌿  Güzel haberlere, vicdanlı insanlara, karşılıksız yardımlara, koşulsuz sevgiye, özgürce nefes almaya, kısacası; gerçekten insanca yaşayamaya çok ihtiyacımız var. Sabırla, özlemle, bıkmadan bekliyoruz, iki gözüm!  🌹🌿  #pakize #Mucizelereİnan #hayatyordubizi #izmirdepremi https://t.co/5kHOhuaRrJ	20/11/2020 20:01:11	0
1329876353718636544	RT @serkanocakkk: İzmir'deki yıkımlar son derece tehlikeli bir şekilde yapılıyor,  tedbirler alınmıyor. Yıkımlarda görevli bir yetkili şöyle diyor: "Bizi Allah koruyor" Bugün @dw_turkce deki haberimi aşağıdan izleyebilirsiniz.  Bu yıkım görüntüsü ise ilk kez yayımlanıyor. #izmirdepremi https://t.co/11EsxXPnw3 https://t.co/uusP83g6qz	20/11/2020 19:56:45	0
1329876328926031872	RT @silveraxeart: İzmir'e Destek Yayınları yapıyoruz.  Program aşağıdaki gibidir. Sizleri yarın ve Pazar @Lorekeeper_tr Twitch sayfasına bekliyoruz efenim.  Yarın saat 14.00'de, Karakter Tasarımı eğitimi yapacağım. Pazar akşam da Warcraft FRP oyununda yer alacağım!  #izmirdepremi #destek #yayın https://t.co/JPgmI0XTMg	20/11/2020 19:56:39	0
1329875806789771265	RT @SVi35: Ah İzmirim Ah.. Her gün evler anılar yıkılıyor... Evsiz kalanlara Allah tez zamanda sıcak bir yuva nasip etsin. #izmirdepremi #bayraklı #izmir #cuma @izmirdecevirme https://t.co/yOEU37YtIf	20/11/2020 19:54:34	0
1329875769317875712	RT @NilayYcel5: hep çocuk kalacaklar.. 🖤🖤 #Dunyacocukhaklarigunu #izmir #izmirdepremi https://t.co/q0RM1OTkKR	20/11/2020 19:54:25	0
